idfamilletissus;dateentree;datefacturation;idcategorietissus;idclassematierepremiere;idutilisationwms;numerobc;numerobl;numerofacture;idfournisseur;idclient;modele;saison;designation;reftissu;composition;couleur;laize;qtecommande;idunitemesurematierepremiere;qterecu;tauxecart;nbrouleau;nblot;prixunitaire;idunitemonetaire;resterecevoir;fret;commentaire;etat
1;20/10/2021;20/10/2021;2;1;1;Non-référencé;Non-référencé;Non-référencé;46;100;COMMUN;E22;ANELA;C427WM-1000;100% COTTON;BLANC;146;3376.6;1;3376.6;0;1;1;1.95;1;0;NULL;NEANT;0
1;26/08/2022;26/08/2022;1;1;1;Non-référencé;Non-référencé;Non-référencé;1;100;COMMUN;E23;APREECA;O-1000;100% COTTON ORG;BLANC LUMINEUX;156/157/160;1266.22;1;1266.22;0;1;1;4.98;2;0;NULL;NEANT;0
1;19/05/2022;19/05/2022;3;1;1;Non-référencé;Non-référencé;Non-référencé;1;NULL;COMMUN;E23;BEMINARAX;BEMINARAX-B;100% COTTON;SANS COLORIS;155/158;5124.2;1;5124.2;0;1;1;2.3;2;0;NULL;NEANT;0
1;08/12/2021;08/12/2021;3;1;1;Non-référencé;Non-référencé;Non-référencé;46;NULL;COMMUN;E22;BINGOLA;C427 F1113;100% COTTON;SANS COLORIS;150;4633;1;4633;0;1;1;2.3;1;0;NULL;NEANT;0
1;01/09/2020;01/09/2020;2;1;1;Non-référencé;Non-référencé;Non-référencé;1;2;COMMUN;E22;EXOTICA;1000;100% COTTON;BLANC;132;206.8;1;206.8;0;1;1;2.91;2;0;NULL;CHECK LAIZE;0
1;01/06/2020;01/06/2020;2;1;1;Non-référencé;Non-référencé;Non-référencé;46;NULL;COMMUN;E23;FALOGERO;E100 PCF-1113;100% COTTON;BLANC;146;881.9;1;881.9;0;1;1;2.4;1;0;NULL;NEANT;0
1;23/03/2023;04/04/2022;2;1;1;Non-référencé;Non-référencé;Non-référencé;1;100;COMMUN;E23;GORCELLA;B 1000;100% COTTON;BLANC LUMINEUX;142/145;6932.1;1;6932.1;0;1;1;3.03;2;0;NULL;NEANT EMP E20/E51;0
1;10/11/2021;10/11/2021;2;1;1;Non-référencé;Non-référencé;Non-référencé;46;100;COMMUN;E22;HANCE;C427 W-1000;100% COTTON;BLANC;136;278.9;1;278.9;0;1;1;3.35;1;0;NULL;NEANT;0
1;28/05/2022;28/05/2022;1;1;1;Non-référencé;Non-référencé;Non-référencé;1;NULL;COMMUN;E22;HELGICAX;O 1000;100% COTTON ORG;BLANC LUMINEUX;160;207.8;1;207.8;0;1;1;2.1;2;0;NULL;NEANT;0
1;28/05/2022;28/05/2022;1;1;1;Non-référencé;Non-référencé;Non-référencé;1;NULL;COMMUN;E22;HELMORAX;O 1000;100% COTTON ORG;BLANC LUMINEUX;161;1326;1;1326;0;1;1;2.1;2;0;NULL;NEANT;0
1;25/02/2022;25/02/2022;3;1;1;Non-référencé;Non-référencé;Non-référencé;1;NULL;COMMUN;E22;HINRAX;HINRAX-B;100% COTTON;SANS COLORIS;158/161;292.27;1;292.27;0;1;1;2.4;2;0;NULL;NEANT;0
1;16/05/2022;16/05/2022;1;1;1;Non-référencé;Non-référencé;Non-référencé;1;NULL;COMMUN;H22;HIPPIA;10000 DOUBLE BLANCHISSEMENT;100% COTTON ORG;BLANC;157/160;1343.7;1;1311;0;1;1;3.5;2;0;NULL;NEANT;0
1;12/01/2021;12/01/2021;2;1;1;Non-référencé;Non-référencé;Non-référencé;46;7;COMMUN;E22;HISTORIA;L398R-77;Non-referencé;RAYE BLEU FONCE;157;97;1;97;0;1;1;3.2;1;0;NULL;NEANT;0
1;07/11/2022;07/11/2022;2;1;1;2070/LOI/2022;218919;F188760Z;1;100;COMMUN;E23;LANINA;B 10000 DOUBLE BLANCHIMENT;100% COTTON;BLANC;150/153;2092;1;2092;0;1;1;2.85;2;0;NULL; CHOIX A-B;0
1;24/11/2022;24/11/2022;1;1;1;Non-référencé;Non-référencé;Non-référencé;1;100;COMMUN;E23;LASMINA;O 10000 DOUBLE BLANCHIMENT;100% COTTON ORG;BLANC;150/153;7028.7;1;6773.2;0;1;1;3.1;2;0;NULL;neant EMP E41/E42;0
1;27/07/2021;27/07/2021;3;1;1;Non-référencé;Non-référencé;Non-référencé;1;6;COMMUN;E22;LASMINA;Non-référencé;100% COTTON;SANS COLORIS;149;317.8;1;317.8;0;1;1;2.8;2;0;NULL;NEANT;0
1;16/03/2023;16/03/2023;2;1;1;Non-référencé;Non-référencé;F193288Z;1;NULL;COMMUN;E22;LASMINA;B 10000 DOUBLE BLANCHIMENT;100% COTTON;BLANC;150/153;6149.64;1;6149.64;0;0;0;2.9;2;0;NULL;EMP: E10/E20;0
